sNo,epsiodeNumber,episodeName,quote
483,NA,NA,"Monica: [as the movers are moving a dresser out of the bedroom] Careful with that, it was my Grandmother's. Be careful.

[Two more movers are moving the giant white dog statue from the balcony]

Monica: If that falls off the truck, it wouldn't be the worst thing.

[She hands the one mover some money]

Ross: [Looking around the now empty apartment] Wow.

Rachel: I know. Seems smaller, somehow.

Joey: Has it always been purple?

Chandler: [to the babies] Look around, you guys. This was your first home... and it was a happy place filled with love and laughter. But, more importantly, 'cause of rent control, it was a friggin' steal.

Phoebe: Hey, do you realize that at one time or another, we all lived in this apartment?

Monica: Oh yeah, that's true.

Ross: Uh, I haven't.

Monica: No, what about the Summer during college that you lived with Grandma? And you tried to make it as a dancer.

Ross: [as everyone awkwardly stares at him] Do you realize we almost made it 10 years without that coming up?

Monica: [to Chandler] Oh, Honey, I promised Treeger that we'd leave our keys.

Chandler: Oh, okay.

[as Monica and Chandler take their keys out of their pockets and place them on the kitchen counter, Ross, Rachel, Phoebe, and Joey, also, take out their keys to Monica's apartment and place them on the kitchen counter]

Phoebe: I guess this is it.

Joey: Yeah... I guess so.

Monica: [Crying] This is harder than I thought it would be.

[Chandler kisses Monica on her head, then hugs her, as Ross does the same to Rachel, whom is also crying, with Ross also hugging Monica, while still hugging Rachel, with Phoebe crying as well]

Rachel: What, do you guys have to move to the new house right away or do you have some time?

Monica: [Monica and Chandler look at each other, with Chandler nodding in agreement] We got some time.

Rachel: Okay, should we get some coffee?

Chandler: Sure.

[They begin walking towards the front door to exit the apartment]

Chandler: Where?

[They group is then seen in the hallway, coming out of the apartment, walking to the stairway, as the camera pans Monica's now-empty apartment, panning from the balcony window into the kitchen, past the refrigerator, to the front door, and finally zooms in on the front door's peephole, which is still surrounded by the yellow picture frame]

"
484,NA,NA,"Croupier: Stop it!

"
485,NA,NA,"Joey: I am very wisdomous.

"
486,NA,NA,"Rachel: Oh my God, he Dream Cheated on you!

"
487,NA,NA,"Phoebe: This was back when I thought everything that rhymed was true.

"
488,NA,NA,"Ross: It's always been you, Rachel!

[they kiss and are happy until a minute and a half later, when Rachel notices her name on Chandler's Computer Screen]

"
489,NA,NA,"Dr. Leonard Green: Rust is boat cancer, Ross!

Ross: I lost an aunt to that.

"
490,NA,NA,"Rachel: [goes crosseyed] Wow, must have been Drake.

"
491,NA,NA,"Chandler: [Drunk, Ross and Chandler's famous romance-author Mother kissed] I expect this from her, she's always been a Freudian nightmare.

"
492,NA,NA,"Joey: You're mean in England!

"
493,NA,NA,"Jessica Lockhart: What writer? Was it bald or was it tall?

"
494,NA,NA,"Monica: There may be something we can fashion.

"
495,NA,NA,"Richard: Let's never speak of this.

"
496,NA,NA,"Rachel: Come on, Monica! They are Cute Doctors.

[gesture]

Rachel: Doctors who are

[gesture]

Rachel: Cute!

Chandler: So what have we learned so far? Rachel, what's all this about you and Doctors? I mean, was your Father a Doctor?

Rachel: ...Yes.

"
497,NA,NA,"Joey: This, more than anything, is a staging area.

"
498,NA,NA,"Ross: You're going to destroy the Whole Illusion of the Party!

"
499,NA,NA,"Chandler: Who's the Bitterest man in the living room/ the Bitterest man in the living room? Hello, Neighbour!

"
500,NA,NA,"Ross: ""Ooh, I must Take a Mental Picture""!

Phoebe: You were making fun of Parker? Okay so he's Positive and Energetic and maybe that's a bit much, but I like that about him. You wanna know what I think? I think your collective dating record reads like a Who's Who of Human Crap!

Ross: ...What was wrong with Mona?

"
501,NA,NA,"Rachel: You just grabbed some insane woman at the Coffee House?

Ross: None of the Sane ones wanted to come back with me!

"
502,NA,NA,"Joey: Up is not an option.

"
503,NA,NA,"Rachel: Aw, this is a present from my boyfriend. It's a Love Bug, ha!

"
504,NA,NA,"Joey: You know what the best thing about marriage is? Waking up next to the same face every morning, until the sweet release of death.

Chandler: This is the worst Batchelor Party ever!

"
505,NA,NA,"Chandler: I was being Shelley Winters from the Poseidon Adventure.

Ross: I know.

"
506,NA,NA,"Ross: There's going to be Hoopla?

"
507,NA,NA,"Rachel: I'm tired of getting clobbered.

"
508,NA,NA,"Rachel: I can't go alone to my own Prom, it's too harsh!

"
509,NA,NA,"Ross: My Dad would say ""Why are you messing around with Dinosaur Toys? Why don't you go out and play like a Real Boy!""

"
510,NA,NA,"Jack Geller: [watches touchdown on pocket TV at Funeral] God, now I'm Depressed! I mean more than before...

"
511,NA,NA,"Monica: [Caught Phonehacking] I might be getting my period, I don't know.

"
512,NA,NA,"Nora Bing: [Wedding] Oh, Chandler! We thought we messed you up so much, this day would never come!

"
513,NA,NA,"Joey: They say I was so badly injured that the only person who could have saved me was me. It's some kind of Irony...

"
514,NA,NA,"Chandler: Something funny about sneakers.

"
515,NA,NA,"Kid: Hey, is this the place with the Singing Lady who Tells the Truth?

"
516,NA,NA,"Joey: Rachel, if you're going to the airport, could you get me one of those Tobelerone Bars?

"
517,NA,NA,"Monica: You like having baths with me!

Chandler: [an American] It's not the bath I like, it's the wet naked Lady!

"
518,NA,NA,"Joey: No, I'm upset because nobody believed Quincy's Theory!

"
519,NA,NA,"Rachel: [an American] I've got something that's going to make you hap-py!

[replacement bracelet]

"
520,NA,NA,"Rachel: Oh, who are you, the Memory Woman?

"
521,NA,NA,"Rachel: Oh, could you please, for once, just not remember every little thing?

"
522,NA,NA,"Precious: I mean, what the Hell am I supposed to do now?

Phoebe: Have some Pride woman, for the love of God!

Precious: [Cries]

Phoebe: Not a fan of the tough love?

"
